book_id,average_number_of_adjectives,total_number_of_proper_nouns,total_number_of_adjectives,average_verb_phrases,total_number_of_noun_phrases,average_words,total_number_of_prepositional_phrases,average_syllables,total_number_of_verb_phrases,total_number_of_conjunctions,average_word_length,count_number_unique_words,length_of_document,average_number_of_common_proper_nouns,total_number_of_common_and_proper_nouns,ratio_of_common_to_proper_nouns,average_number_of_proper_nouns,average_number_of_conjunctions,average_prepositional_phrases,average_noun_phrases
910,0.9385679414157851,3455,4614,0.022579332790886898,360.0,17.76261187957689,167.0,1.3427468764672874,111.0,13387,3.901936533021839,7246,419674,3.632221318144833,17856,4.168162083936324,0.7028071602929211,2.7231489015459722,0.033970707892595604,0.07323026851098453
15,6.52,507,163,5.2,432.0,68.44,152.0,1.4827586206896552,130.0,181,4.858562244301578,786,11617,28.0,700,0.3806706114398422,20.28,7.24,6.08,17.28
10551,0.9057057057057057,2925,3016,0.017417417417417418,117.0,18.502402402402403,43.0,1.3203869313294272,58.0,8751,3.7372794702416696,6160,282910,3.5048048048048046,11671,2.99008547008547,0.8783783783783784,2.627927927927928,0.012912912912912912,0.03513513513513514
10422,0.80338794779228,2777,2893,0.0022216051096917524,24.0,16.09080810885865,14.0,1.3825828831782958,8.0,7531,3.898848868715807,6524,275235,3.183560122188281,11464,3.128195894850558,0.7711746737017495,2.0913635101360732,0.0038878089419605664,0.006664815329075257
18970,1.0825488776249095,1977,2990,0.01774076755973932,163.0,20.27697320782042,55.0,1.3646995803946076,49.0,8584,3.9166502990804393,6087,267864,3.837798696596669,10600,4.361659079413252,0.7157856625633598,3.10789283128168,0.01991310644460536,0.05901520637219406
5241,0.8823089576790788,5088,5900,0.00014954389113204725,8.0,17.258112756093915,4.0,1.3247346302153287,1.0,16560,3.7776526147047353,9078,533760,3.3814864662778525,22612,3.444182389937107,0.7608793180798564,2.4764468371467028,0.000598175564528189,0.001196351129056378
5606,0.9568620919387075,4701,5745,0.0,2.0,17.712358427714857,0.0,1.351901828952936,0.0,14968,3.8464337768583383,9008,499374,3.6657228514323785,22009,3.6817698362050626,0.7829780146568954,2.4930046635576284,0.0,0.00033311125916055963
4400,0.9105174668410237,4183,4874,0.00018681113394358303,9.0,18.73099196712124,5.0,1.293107403233367,1.0,14751,3.731377222815084,6197,458338,3.3753035680926584,18068,3.3193879990437485,0.7814309732860079,2.7556510368017935,0.0009340556697179152,0.0016813002054922473
5194,0.9012754356927271,6364,9257,0.0017525070587089864,54.0,16.71093369681628,28.0,1.3188629557557183,18.0,23766,3.7656696069634927,11125,794281,3.160646480381657,32463,4.101037083595223,0.6196086067568883,2.3138934865154317,0.00272612209132509,0.00525752117612696
11357,0.8587837837837838,4229,5084,0.025,409.0,16.04037162162162,161.0,1.3384618624880211,148.0,12987,3.775977000600259,7956,440899,3.032939189189189,17955,3.245684558997399,0.7143581081081081,2.19375,0.027195945945945946,0.06908783783783784
6066,0.7653336604514229,4874,6239,0.005888125613346418,135.0,15.35807163886163,64.0,1.2904416169458222,48.0,17507,3.691586993506338,8365,566440,2.9052993130520117,23684,3.859253180139516,0.5978900883218842,2.1475711481844946,0.007850834151128557,0.0165603532875368
19307,0.852108768035516,3307,3071,0.009156492785793563,126.0,17.84544950055494,43.0,1.2988571872813497,33.0,9060,3.6704967736919847,6092,288991,3.495005549389567,12596,2.8088902328394316,0.917591564927858,2.513873473917869,0.01193118756936737,0.03496115427302997
5153,1.06314623338257,4061,5758,0.003138847858197932,46.0,19.091211225997046,16.0,1.3478403837598407,17.0,14383,3.858778699781427,8317,484366,3.676698670605613,19913,3.9034720512189116,0.7498153618906942,2.6556499261447564,0.0029542097488921715,0.008493353028064993
5315,0.7853292260300346,3089,4079,0.004043126684636119,53.0,15.384482094724682,21.0,1.3069943809678752,21.0,11027,3.7448283629719548,6958,362908,2.9653446284174048,15402,3.9860796374231144,0.5947246823257605,2.1230265691182133,0.004043126684636119,0.01020408163265306
6751,0.8161875945537065,2886,3237,0.0002521432173474534,10.0,15.844175491679273,5.0,1.315843916101722,1.0,8237,3.7148699831312264,5549,284010,3.0615229450327788,12142,3.2072072072072073,0.7276853252647504,2.076903681290973,0.0012607160867372667,0.0025214321734745334
60,1.1011023079572855,5485,6393,0.002411298656562177,83.0,17.885635549431623,21.0,1.3570162936712762,14.0,13258,3.8517969261584684,7361,484488,3.4968997588701343,20303,2.70154968094804,0.9447123665173958,2.283499827764382,0.0036169479848432657,0.014295556321047193
